Location,Area,Bedrooms,Bathrooms,Parking,Floor,Age_of_Property,Furnished_Status,Price
Thane,737,3,3,1.0,7.0,20.0,Furnished,5119895.98692929
Thane,1789,3,2,0.0,26.0,29.0,Semi-Furnished,12260560.926974425
Vikhroli,3966,2,1,2.0,28.0,26.0,Semi-Furnished,25036252.012311447
Malad,1006,4,3,0.0,23.0,25.0,Furnished,9577260.26479002
Kandivali,565,2,3,1.0,15.0,32.0,Furnished,4354574.4227737775
Kandivali,1967,2,1,1.0,4.0,25.0,Unfurnished,12655489.181340668
Juhu,2458,2,2,1.0,20.0,25.0,Furnished,39082008.79437565
Juhu,1724,2,2,1.0,21.0,35.0,Semi-Furnished,24537785.045207065
Juhu,1128,1,1,1.0,9.0,39.0,Semi-Furnished,13970680.385010142
Powai,3248,3,4,0.0,22.0,0.0,Furnished,42452689.139020406
Goregaon,2443,4,3,1.0,12.0,14.0,Semi-Furnished,19879630.727232028
Borivali,501,3,3,2.0,28.0,0.0,Unfurnished,4450423.41448198
Goregaon,3896,2,2,2.0,25.0,10.0,Semi-Furnished,37391064.03934198
Andheri,1815,1,2,0.0,13.0,1.0,Furnished,20232149.140810605
Goregaon,1178,2,2,1.0,6.0,0.0,Semi-Furnished,9509250.458548628
Powai,613,2,3,2.0,28.0,30.0,Semi-Furnished,6203152.72575514
Vikhroli,1511,3,2,1.0,19.0,15.0,Semi-Furnished,11981945.773556506
Andheri,1976,2,2,1.0,5.0,21.0,Semi-Furnished,18393885.877338096
Goregaon,2848,3,3,2.0,6.0,17.0,Furnished,21966938.576563228
Powai,3035,4,5,2.0,4.0,16.0,Semi-Furnished,36114847.69348019
Borivali,3336,3,2,1.0,20.0,29.0,Semi-Furnished,21803194.807459354
Goregaon,3517,4,3,1.0,,9.0,Semi-Furnished,31963559.745513145
Powai,2095,3,3,1.0,22.0,34.0,Semi-Furnished,23555097.90739297
Worli,3934,3,2,1.0,11.0,20.0,Furnished,65470294.6477693
Juhu,991,3,2,1.0,5.0,15.0,Semi-Furnished,17645371.86029414
Worli,1733,3,4,1.0,26.0,5.0,Unfurnished,24102507.67618732
Kandivali,1509,2,2,1.0,0.0,2.0,Semi-Furnished,10834166.764828058
Juhu,2539,2,2,0.0,3.0,20.0,Semi-Furnished,36785647.3277119
Kandivali,3120,2,2,1.0,18.0,,Semi-Furnished,23304305.359463956
Dadar,1113,3,3,1.0,11.0,17.0,Unfurnished,12926356.427423203
Bandra,1335,2,1,1.0,14.0,23.0,Unfurnished,20433308.43485546
Worli,2351,4,4,1.0,2.0,26.0,Semi-Furnished,30114198.10309552
Bandra,641,3,3,2.0,22.0,3.0,Furnished,11004857.781450147
Bandra,2443,2,2,0.0,26.0,21.0,Unfurnished,39108702.32591371
Borivali,401,2,2,,27.0,23.0,Semi-Furnished,2693639.420811719
Juhu,2672,4,3,2.0,25.0,39.0,Semi-Furnished,42311953.87992914
Dadar,3248,4,4,1.0,19.0,9.0,Unfurnished,40101616.41190754
Kandivali,2168,3,4,1.0,27.0,1.0,Semi-Furnished,18708262.928627394
Powai,2349,2,3,2.0,7.0,39.0,Furnished,22137452.21646302
Andheri,3036,2,3,1.0,10.0,5.0,Unfurnished,29757404.867997125
Powai,2563,2,2,1.0,15.0,17.0,Semi-Furnished,26244212.23462951
Andheri,1317,2,2,1.0,8.0,16.0,Semi-Furnished,10586067.362042647
Worli,3574,3,3,1.0,2.0,37.0,Furnished,50419123.10454292
Thane,2641,3,2,2.0,4.0,22.0,Semi-Furnished,14606410.926787227
Powai,3637,3,3,2.0,19.0,29.0,Furnished,39119004.527404964
Goregaon,3318,4,4,1.0,13.0,20.0,Semi-Furnished,29215059.532743964
Goregaon,489,3,2,0.0,27.0,9.0,Semi-Furnished,4734383.841658441
Malad,2109,3,3,0.0,25.0,12.0,Unfurnished,18935825.003441997
Juhu,2569,2,3,1.0,14.0,11.0,Semi-Furnished,47765611.394697815
Andheri,542,4,4,0.0,5.0,8.0,Unfurnished,5789396.922568827
Andheri,3441,1,2,1.0,26.0,3.0,Unfurnished,32814147.19027914
Kurla,505,4,3,1.0,25.0,38.0,Semi-Furnished,3621023.359077217
Vikhroli,1286,4,4,1.0,3.0,23.0,Furnished,10136863.489200562
Juhu,827,2,2,1.0,7.0,33.0,Unfurnished,11900887.323187713
Borivali,1728,3,3,1.0,18.0,38.0,Semi-Furnished,11267865.299753617
Malad,2295,4,5,1.0,26.0,4.0,Furnished,23390455.93631305
Borivali,2394,3,4,1.0,4.0,14.0,Furnished,18979424.98472741
Worli,716,4,4,1.0,12.0,3.0,Unfurnished,10847617.292248653
Worli,2386,4,4,1.0,15.0,38.0,Furnished,35223930.22073423
Borivali,1034,2,3,1.0,0.0,7.0,Furnished,9956130.118272983
Borivali,2325,2,1,1.0,12.0,23.0,Semi-Furnished,17252080.907497987
Dadar,2456,4,5,2.0,21.0,27.0,Unfurnished,27742223.635694228
Juhu,3221,3,3,1.0,10.0,26.0,Semi-Furnished,45973578.677963436
Borivali,3544,2,1,0.0,20.0,0.0,Furnished,33764093.791870475
Goregaon,3830,1,1,1.0,7.0,33.0,Furnished,29124207.50904784
Vikhroli,2670,3,3,1.0,24.0,16.0,Semi-Furnished,20918863.67942121
Vikhroli,1839,4,4,1.0,7.0,36.0,Furnished,14099594.982212843
Bandra,952,4,4,,23.0,37.0,Semi-Furnished,14989190.851610076
Thane,3841,3,2,1.0,27.0,25.0,Furnished,31388419.776270207
Worli,1115,2,1,2.0,13.0,23.0,Unfurnished,13166677.554313663
Andheri,1687,2,1,2.0,12.0,38.0,Semi-Furnished,11709639.742156897
Kurla,2113,4,4,0.0,2.0,,Furnished,16795470.73750474
Lower Parel,2283,2,1,1.0,3.0,29.0,Unfurnished,26826481.04160307
Andheri,3789,2,2,1.0,26.0,12.0,Furnished,40370783.15073122
Thane,1507,2,2,1.0,19.0,36.0,Semi-Furnished,10938424.031053262
Kurla,1741,3,4,1.0,14.0,2.0,Unfurnished,12191377.968096888
Dadar,510,4,5,1.0,14.0,31.0,Semi-Furnished,6376583.002271707
Juhu,650,2,2,1.0,29.0,34.0,Semi-Furnished,9100256.052854057
Powai,2830,3,3,1.0,,18.0,Semi-Furnished,35939726.32959068
Juhu,2454,3,4,1.0,20.0,13.0,Furnished,46938637.20908066
Andheri,858,5,6,0.0,12.0,21.0,Furnished,7838085.059750938
Andheri,1507,2,2,1.0,8.0,16.0,Unfurnished,12701004.511247829
Kurla,607,3,2,1.0,27.0,3.0,Semi-Furnished,5470388.992186543
Kurla,1299,2,2,1.0,24.0,,Furnished,9876119.284955489
Worli,3861,4,4,0.0,9.0,18.0,Furnished,63968347.88458146
Dadar,3785,3,3,2.0,28.0,36.0,Unfurnished,41145693.6694912
Worli,421,2,2,1.0,11.0,1.0,Unfurnished,6290008.265741352
Thane,809,3,4,0.0,13.0,14.0,Semi-Furnished,6158459.283868358
Borivali,1294,3,4,1.0,0.0,1.0,Unfurnished,9990717.581246722
Juhu,914,1,1,1.0,13.0,10.0,Unfurnished,15298811.806211744
Kurla,3598,4,3,1.0,13.0,22.0,Furnished,28630503.48549395
Kandivali,1208,2,1,1.0,7.0,9.0,Furnished,9021920.940422919
Thane,1273,3,4,1.0,15.0,2.0,Furnished,11340568.45803151
Goregaon,413,2,2,0.0,13.0,4.0,Unfurnished,3567910.724826195
Dadar,1370,3,3,0.0,0.0,2.0,Unfurnished,16143818.172576033
Andheri,3425,2,2,1.0,,37.0,Semi-Furnished,32128121.511437315
Worli,3461,4,4,1.0,17.0,12.0,Furnished,57864928.343828015
Thane,3483,3,3,1.0,6.0,18.0,Semi-Furnished,20854746.953156553
Lower Parel,2534,3,3,2.0,14.0,,Unfurnished,28692284.956535444
Juhu,3995,3,3,1.0,23.0,34.0,Unfurnished,62031298.98019786
Kurla,3356,3,4,1.0,16.0,23.0,Furnished,23004519.45910637
Andheri,1960,1,2,1.0,18.0,23.0,Semi-Furnished,18240276.367599495
Powai,1724,2,3,0.0,22.0,16.0,Furnished,18812994.25446359
Lower Parel,1666,4,4,2.0,12.0,39.0,Unfurnished,21793175.270795226
Dadar,2569,2,2,1.0,8.0,9.0,Semi-Furnished,29366716.4251586
Thane,3618,3,3,1.0,23.0,1.0,Furnished,30379386.051958267
Malad,1149,5,6,1.0,23.0,22.0,Unfurnished,9030192.661275113
Andheri,3827,1,1,1.0,,5.0,Furnished,40801012.175210305
Juhu,1084,3,3,,24.0,1.0,Unfurnished,21490554.17200863
Bandra,2327,3,2,,25.0,20.0,Furnished,38703502.06051865
Kandivali,2756,3,3,2.0,2.0,34.0,Semi-Furnished,18312367.712100282
Mulund,1094,1,1,1.0,23.0,28.0,Unfurnished,7118261.247320154
Lower Parel,2735,1,1,1.0,0.0,6.0,Semi-Furnished,31639902.343886998
Borivali,706,3,2,1.0,15.0,28.0,Semi-Furnished,4910900.340550184
Mulund,2389,4,4,2.0,7.0,36.0,Semi-Furnished,15314117.21585672
Juhu,3361,3,4,0.0,28.0,22.0,Furnished,49765201.55160158
Goregaon,1061,3,3,1.0,22.0,32.0,Semi-Furnished,8386130.067771706
Worli,948,1,1,2.0,12.0,7.0,Unfurnished,12552743.62511843
Goregaon,3823,3,3,1.0,7.0,11.0,Unfurnished,35461960.39293415
Bandra,711,2,3,0.0,16.0,9.0,Unfurnished,9963869.864249341
Lower Parel,3320,4,3,1.0,21.0,14.0,Semi-Furnished,50540316.840768434
Borivali,1482,4,5,1.0,22.0,23.0,Unfurnished,11616770.248633051
Malad,3371,3,3,1.0,13.0,25.0,Unfurnished,27751749.18868046
Bandra,2137,4,5,1.0,26.0,38.0,Semi-Furnished,30093371.051599532
Lower Parel,1154,1,2,1.0,20.0,2.0,Furnished,19395791.063119438
Vikhroli,434,3,3,1.0,29.0,1.0,Semi-Furnished,3766449.9340178585
Mulund,844,2,1,1.0,20.0,5.0,Unfurnished,7285270.149327589
Bandra,2540,4,4,2.0,6.0,20.0,Semi-Furnished,46235600.182469025
Mulund,2382,2,2,1.0,26.0,8.0,Unfurnished,18582748.457301356
Andheri,1630,3,2,1.0,14.0,9.0,Furnished,17426317.914448973
Goregaon,752,4,3,,15.0,35.0,Unfurnished,5559819.9031122485
Andheri,1302,1,1,,18.0,2.0,Semi-Furnished,14141246.821867112
Kandivali,1755,2,1,1.0,5.0,23.0,Semi-Furnished,14711412.129756719
Vikhroli,3309,3,2,1.0,22.0,21.0,Furnished,27813817.244030368
Borivali,2148,3,3,1.0,0.0,13.0,Furnished,15379334.099797897
Malad,558,2,1,1.0,11.0,26.0,Unfurnished,3714528.295841744
Dadar,2377,2,2,1.0,,32.0,Unfurnished,26784314.89392928
Mulund,1356,2,2,0.0,15.0,21.0,Semi-Furnished,9213798.501509082
Malad,2471,4,4,0.0,11.0,,Furnished,19710118.687050328
Mulund,803,3,4,1.0,19.0,18.0,Semi-Furnished,6006582.270843568
Juhu,3252,1,1,1.0,,18.0,Furnished,52808269.2617638
Bandra,915,2,2,2.0,7.0,5.0,Furnished,15782606.198891593
Kandivali,3179,2,2,1.0,26.0,18.0,Unfurnished,19277682.675360262
Goregaon,1787,2,3,1.0,28.0,12.0,Unfurnished,13204141.73554993
Dadar,3853,2,3,1.0,29.0,25.0,Furnished,41723066.19872976
Kurla,2979,2,3,1.0,25.0,21.0,Semi-Furnished,18223322.74832519
Mulund,1355,2,2,1.0,21.0,20.0,Furnished,11117496.614130143
Malad,2599,3,2,1.0,0.0,35.0,Furnished,20203499.365992606
Kandivali,2112,2,2,1.0,25.0,1.0,Furnished,19936573.8359479
Powai,3394,3,2,1.0,20.0,29.0,Semi-Furnished,37159424.90542878
Dadar,1007,3,4,0.0,6.0,26.0,Furnished,11557815.77990565
Powai,2867,3,3,0.0,14.0,6.0,Semi-Furnished,34324297.87292192
Andheri,1673,3,3,0.0,28.0,,Furnished,18625177.079751264
Goregaon,3588,3,3,1.0,21.0,30.0,Furnished,30471986.406267077
Worli,3313,4,5,1.0,12.0,,Furnished,50230225.82311128
Worli,1935,3,3,1.0,12.0,12.0,Unfurnished,25523235.527803265
Kurla,3025,3,2,1.0,27.0,16.0,Unfurnished,19863010.673643842
Juhu,2782,4,4,2.0,8.0,3.0,Unfurnished,49996282.23724441
Malad,1841,3,3,2.0,23.0,13.0,Semi-Furnished,15507350.988318102
Lower Parel,3379,2,2,1.0,14.0,19.0,Semi-Furnished,51308463.88930992
Kurla,2197,2,3,0.0,3.0,12.0,Semi-Furnished,14384395.204597114
Bandra,694,2,1,1.0,12.0,2.0,Furnished,12760258.857859956
Bandra,1154,4,4,1.0,26.0,25.0,Unfurnished,17661680.322535742
Malad,1794,3,3,0.0,11.0,25.0,Semi-Furnished,13722665.506871821
Lower Parel,585,4,4,1.0,4.0,17.0,Semi-Furnished,7764224.167955708
Borivali,1669,3,4,2.0,6.0,31.0,Semi-Furnished,12208169.53522161
Juhu,1036,3,3,1.0,7.0,13.0,Semi-Furnished,17659132.516974542
Kandivali,1691,1,1,0.0,4.0,2.0,Unfurnished,12434001.600922922
Mulund,3708,3,4,0.0,8.0,0.0,Semi-Furnished,32502213.58556217
Lower Parel,929,3,3,1.0,13.0,25.0,Semi-Furnished,12136871.9021836
Worli,2468,5,5,0.0,25.0,23.0,Semi-Furnished,32405625.20422518
Dadar,3358,2,2,1.0,11.0,34.0,Unfurnished,34045142.359780155
Borivali,3314,3,3,1.0,3.0,13.0,Semi-Furnished,24895585.59017764
Mulund,1193,3,3,0.0,19.0,2.0,Semi-Furnished,11821036.593530612
Mulund,3991,3,2,,28.0,12.0,Furnished,37399217.7156275
Borivali,2547,3,3,1.0,7.0,13.0,Unfurnished,19256742.224190157
Andheri,3199,3,3,0.0,,20.0,Furnished,33101940.565649986
Powai,877,2,2,1.0,7.0,25.0,Semi-Furnished,8190907.920877814
Mulund,2022,3,3,,20.0,2.0,Unfurnished,15886721.78373037
Borivali,3769,3,4,1.0,28.0,39.0,Unfurnished,24471160.533339348
Lower Parel,1339,4,3,2.0,29.0,3.0,Semi-Furnished,21451297.122686513
Borivali,925,4,4,1.0,26.0,35.0,Unfurnished,6248678.351342119
Vikhroli,2781,2,2,2.0,0.0,0.0,Furnished,22057347.43291082
Kurla,401,2,2,,19.0,39.0,Unfurnished,2156894.649018004
Thane,774,5,5,1.0,1.0,32.0,Semi-Furnished,5308844.20755198
Andheri,2740,3,2,2.0,3.0,6.0,Semi-Furnished,27025726.858366515
Goregaon,3284,4,4,1.0,23.0,10.0,Unfurnished,30241641.256288424
Thane,3452,2,2,0.0,20.0,26.0,Unfurnished,21259681.209698945
Kurla,952,3,3,1.0,0.0,13.0,Furnished,7429436.410307005
Kurla,2765,4,5,1.0,6.0,21.0,Unfurnished,17074539.203896426
Kurla,1925,4,5,,0.0,15.0,Furnished,14571291.744630309
Thane,2251,2,2,2.0,8.0,11.0,Unfurnished,15953981.503205402
Malad,780,3,3,,2.0,9.0,Semi-Furnished,6309896.144729782
Powai,2046,3,2,0.0,11.0,23.0,Furnished,20559461.623365052
Borivali,413,1,1,2.0,18.0,17.0,Semi-Furnished,2671011.0751634794
Dadar,903,3,2,1.0,14.0,21.0,Semi-Furnished,10734687.610815363
Powai,2678,3,4,0.0,,8.0,Semi-Furnished,33046757.689868357
Worli,2408,4,4,1.0,15.0,16.0,Furnished,39984198.03943231
Lower Parel,3555,3,3,1.0,9.0,37.0,Furnished,48315314.36722557
Juhu,529,2,2,0.0,21.0,39.0,Unfurnished,6988929.140955056
Malad,1237,1,1,2.0,28.0,12.0,Furnished,11401373.477757124
Goregaon,3616,2,3,1.0,26.0,36.0,Semi-Furnished,28249380.850424536
Powai,3338,2,2,1.0,26.0,5.0,Semi-Furnished,37245499.217956066
Dadar,2440,3,4,1.0,5.0,20.0,Furnished,31574187.446811114
Bandra,427,2,2,1.0,28.0,35.0,Semi-Furnished,6045237.403121521
Kurla,2513,4,4,1.0,16.0,6.0,Semi-Furnished,22059701.574201744
Mulund,3634,5,6,1.0,20.0,35.0,Semi-Furnished,30474695.807574343
Worli,1652,3,3,1.0,27.0,24.0,Semi-Furnished,23448400.256004915
Juhu,660,4,5,2.0,21.0,10.0,Semi-Furnished,11180738.982815096
Andheri,2446,3,2,,23.0,13.0,Semi-Furnished,26840469.73223129
Goregaon,1872,3,2,1.0,28.0,28.0,Unfurnished,15478769.337694818
Lower Parel,1847,2,3,2.0,16.0,9.0,Furnished,27276633.340134427
Juhu,859,3,2,0.0,20.0,4.0,Unfurnished,12197031.238243239
Kurla,700,3,4,0.0,18.0,7.0,Semi-Furnished,4949229.182248809
Mulund,3366,4,5,1.0,17.0,4.0,Unfurnished,26260463.968189135
Malad,3774,3,2,1.0,10.0,23.0,Semi-Furnished,29007010.421652004
Mulund,2734,4,4,0.0,23.0,39.0,Semi-Furnished,20712380.94509792
Thane,3866,3,2,1.0,6.0,25.0,Unfurnished,26939389.451166533
Mulund,3481,2,2,1.0,9.0,5.0,Furnished,33812497.38938423
Thane,1029,5,4,1.0,6.0,15.0,Furnished,9065119.450587142
Worli,669,3,3,1.0,4.0,35.0,Furnished,8275874.433885687
Malad,3039,2,2,1.0,11.0,11.0,Unfurnished,25592981.857799187
Lower Parel,2393,3,3,1.0,,10.0,Semi-Furnished,38687412.091517575
Kandivali,2028,2,3,2.0,28.0,2.0,Semi-Furnished,18670749.84848984
Kurla,2201,3,4,2.0,24.0,36.0,Unfurnished,12361282.194779672
Thane,3291,3,3,1.0,,,Semi-Furnished,25330510.212262694
Andheri,1261,2,2,1.0,17.0,18.0,Unfurnished,11918785.924134118
Mulund,3832,5,6,1.0,2.0,17.0,Semi-Furnished,28116146.397981845
Mulund,1680,3,3,0.0,19.0,15.0,Unfurnished,11154840.702834085
Andheri,2580,2,2,0.0,14.0,22.0,Furnished,25280321.464065313
Lower Parel,3747,3,4,1.0,4.0,36.0,Furnished,45780652.943176016
Bandra,2199,4,4,1.0,12.0,8.0,Semi-Furnished,31526214.427839816
Worli,2106,2,2,1.0,18.0,2.0,Semi-Furnished,35569420.10422367
Borivali,3419,2,3,2.0,,7.0,Semi-Furnished,27115687.60446531
Kandivali,2960,1,2,0.0,29.0,37.0,Semi-Furnished,18445902.8383089
Goregaon,2760,1,1,,22.0,3.0,Furnished,24173980.81170451
Dadar,975,4,4,0.0,20.0,11.0,Semi-Furnished,12675416.464504154
Thane,3333,3,3,1.0,4.0,30.0,Semi-Furnished,22920896.603691887
Andheri,2403,2,1,1.0,5.0,24.0,Furnished,22895140.851244662
Dadar,1707,3,3,1.0,6.0,15.0,Semi-Furnished,17822512.70189845
Malad,3592,2,1,1.0,25.0,13.0,Semi-Furnished,30672514.15048843
Lower Parel,3578,5,6,1.0,9.0,12.0,Semi-Furnished,55327160.21510584
Thane,2356,5,4,2.0,,6.0,Furnished,20049843.604037587
Borivali,3134,2,1,2.0,7.0,11.0,Unfurnished,24825801.097178467
Dadar,2420,4,4,2.0,8.0,36.0,Semi-Furnished,24509629.13943075
Malad,3675,3,3,1.0,26.0,3.0,Furnished,38979843.965622865
Juhu,2612,2,1,0.0,3.0,1.0,Semi-Furnished,44274124.688035645
Kurla,2752,2,2,0.0,20.0,34.0,Unfurnished,16056232.49833246
Mulund,3968,3,3,0.0,20.0,2.0,Semi-Furnished,33217767.56742794
Juhu,2055,3,3,1.0,,3.0,Unfurnished,36724580.80399072
Thane,1979,5,4,2.0,24.0,37.0,Furnished,15085331.577772554
Borivali,2247,3,4,1.0,6.0,11.0,Unfurnished,17734836.52505662
Kandivali,2603,4,4,0.0,14.0,18.0,Semi-Furnished,21684626.270381905
Dadar,1790,3,2,1.0,20.0,9.0,Furnished,23285327.888509985
Worli,2142,4,5,2.0,2.0,0.0,Semi-Furnished,34414691.2765997
Kurla,2325,3,4,1.0,16.0,16.0,Unfurnished,15689741.736661714
Thane,1019,2,2,2.0,10.0,15.0,Unfurnished,7493816.080372044
Lower Parel,1674,3,3,2.0,8.0,,Semi-Furnished,22966499.956383653
Andheri,1356,4,5,2.0,4.0,8.0,Furnished,14540148.646138048
Worli,2339,1,2,1.0,24.0,8.0,Semi-Furnished,40578728.61391834
Worli,2781,4,4,1.0,9.0,11.0,Furnished,50333363.13421188
Worli,1368,2,2,1.0,14.0,,Furnished,19367803.135284394
Powai,2958,3,3,0.0,27.0,1.0,Semi-Furnished,39211536.83845931
Thane,1716,4,4,1.0,28.0,10.0,Unfurnished,13833306.531735605
Kurla,1443,2,1,0.0,,10.0,Semi-Furnished,9388910.016892489
Mulund,681,2,2,2.0,3.0,7.0,Furnished,5725764.056847424
Mulund,3244,2,3,1.0,20.0,31.0,Semi-Furnished,21376974.692827087
Thane,3472,4,4,2.0,19.0,5.0,Unfurnished,21639039.768684674
Malad,2566,1,1,1.0,1.0,19.0,Unfurnished,18002066.214972578
Powai,1458,4,4,1.0,11.0,38.0,Semi-Furnished,14029070.829563787
Andheri,597,2,1,2.0,0.0,34.0,Unfurnished,4215037.28489768
Worli,2932,5,5,1.0,23.0,7.0,Unfurnished,46251574.72967962
Worli,1482,5,5,1.0,19.0,33.0,Furnished,18683081.956637297
Thane,3284,3,3,0.0,4.0,18.0,Semi-Furnished,23297294.98754764
Malad,1584,3,2,1.0,5.0,6.0,Unfurnished,12871318.34510038
Mulund,1408,3,4,1.0,29.0,30.0,Semi-Furnished,11138039.713093981
Mulund,3138,3,3,1.0,,17.0,Furnished,23524361.64439196
Borivali,1629,1,1,1.0,10.0,39.0,Semi-Furnished,12081870.623238739
Thane,1435,1,2,1.0,7.0,13.0,Semi-Furnished,11302189.697790224
Powai,889,1,1,1.0,6.0,38.0,Unfurnished,7323299.820037978
Bandra,675,2,2,1.0,3.0,35.0,Semi-Furnished,9931724.861296568
Powai,3140,2,3,,5.0,,Semi-Furnished,35744781.834092215
Lower Parel,2689,3,2,2.0,15.0,36.0,Unfurnished,30572879.394532893
Mulund,1639,5,5,1.0,19.0,8.0,Semi-Furnished,13678652.218980042
Mulund,1674,2,2,1.0,14.0,19.0,Furnished,13029824.153041307
Juhu,525,3,4,1.0,13.0,27.0,Unfurnished,9465032.695904093
Mulund,616,2,2,,22.0,19.0,Semi-Furnished,5236049.799418961
Andheri,3777,4,4,1.0,11.0,35.0,Semi-Furnished,32113160.06319108
Goregaon,1608,4,4,1.0,28.0,26.0,Semi-Furnished,13637874.233356
Thane,3510,4,4,1.0,11.0,,Furnished,31529603.91806653
Dadar,1646,5,5,1.0,15.0,31.0,Unfurnished,19638134.831695035
Powai,3655,1,1,0.0,14.0,0.0,Semi-Furnished,38654293.561035745
Goregaon,2942,4,4,1.0,28.0,16.0,Semi-Furnished,27267931.807367157
Malad,2874,3,3,1.0,12.0,8.0,Furnished,25054255.978680316
Bandra,3649,2,2,2.0,10.0,19.0,Semi-Furnished,54122810.28255234
Andheri,1318,5,5,1.0,29.0,31.0,Unfurnished,11878646.011224201
Kurla,3899,2,3,1.0,16.0,1.0,Unfurnished,30473403.675464205
Vikhroli,1717,3,3,1.0,,31.0,Unfurnished,11201436.163958315
Powai,2598,2,3,2.0,14.0,8.0,Semi-Furnished,29673411.250643834
Goregaon,2831,2,3,2.0,13.0,29.0,Unfurnished,17895413.029298514
Kurla,2061,3,3,1.0,9.0,19.0,Semi-Furnished,14662364.374345168
Bandra,707,3,3,1.0,11.0,37.0,Unfurnished,8667408.832135992
Juhu,1759,2,3,,15.0,0.0,Unfurnished,25648274.232129164
Kurla,2369,2,2,1.0,14.0,4.0,Semi-Furnished,19047989.95771829
Andheri,3193,4,5,1.0,9.0,34.0,Semi-Furnished,27561647.65843812
Andheri,1291,2,2,0.0,3.0,35.0,Furnished,9333850.194251781
Dadar,774,2,2,1.0,26.0,0.0,Semi-Furnished,9423174.45585352
Juhu,3479,4,4,,22.0,13.0,Unfurnished,57836485.24666936
Vikhroli,2433,4,4,1.0,28.0,8.0,Furnished,21593755.460657075
Thane,1764,2,3,1.0,8.0,29.0,Furnished,11876376.18510063
Kurla,528,3,3,1.0,20.0,23.0,Furnished,2878774.203807002
Juhu,1414,4,4,1.0,19.0,3.0,Unfurnished,23525182.32571263
Andheri,2199,4,5,1.0,8.0,13.0,Semi-Furnished,23247030.527155455
Andheri,3116,3,3,0.0,20.0,24.0,Furnished,34073774.675770774
Goregaon,3823,2,2,1.0,24.0,3.0,Semi-Furnished,33112691.259438675
Mulund,1781,2,2,1.0,23.0,24.0,Semi-Furnished,15305405.872382797
Vikhroli,916,2,2,0.0,19.0,9.0,Semi-Furnished,6065726.394137412
Kurla,1918,3,2,0.0,10.0,34.0,Unfurnished,10990685.268167386
Dadar,485,1,1,,10.0,6.0,Semi-Furnished,6167672.689961668
Dadar,1598,3,3,1.0,6.0,12.0,Semi-Furnished,20433649.04381028
Kurla,3664,2,2,2.0,20.0,3.0,Furnished,29565326.02346928
Lower Parel,2758,2,2,0.0,9.0,35.0,Furnished,32047595.865852207
Worli,1542,4,4,2.0,3.0,13.0,Semi-Furnished,20914518.0566386
Bandra,3689,3,2,0.0,4.0,17.0,Semi-Furnished,52316453.53009271
Dadar,2874,1,1,2.0,4.0,7.0,Semi-Furnished,30646604.17182304
Juhu,2393,4,3,1.0,10.0,31.0,Furnished,39737151.12133424
Bandra,3885,1,1,1.0,8.0,26.0,Furnished,56624468.326489456
Juhu,2561,3,4,1.0,27.0,36.0,Unfurnished,33264807.242639486
Malad,3616,3,3,1.0,15.0,22.0,Semi-Furnished,27747303.0427038
Andheri,702,2,2,2.0,8.0,6.0,Unfurnished,5085599.486060085
Mulund,3191,4,3,1.0,21.0,11.0,Unfurnished,26604237.269954093
Goregaon,987,3,3,1.0,29.0,24.0,Semi-Furnished,8811486.442721704
Dadar,1386,3,3,0.0,3.0,2.0,Unfurnished,15622355.496109135
Mulund,2263,1,1,0.0,1.0,25.0,Semi-Furnished,14658514.941606827
Mulund,744,2,2,2.0,13.0,3.0,Furnished,6705436.072102425
Mulund,1213,4,4,1.0,2.0,35.0,Semi-Furnished,8686685.476961931
Worli,2387,2,3,1.0,17.0,14.0,Semi-Furnished,36542392.09738872
Bandra,3248,3,3,1.0,20.0,31.0,Semi-Furnished,43698750.28623174
Juhu,3472,3,3,2.0,5.0,,Semi-Furnished,49218028.37662141
Kandivali,3618,3,4,1.0,10.0,9.0,Semi-Furnished,27629196.34974693
Malad,1710,1,1,1.0,20.0,20.0,Furnished,12835841.184432838
Powai,2399,2,1,1.0,17.0,15.0,Furnished,27780648.386613302
Mulund,2077,3,3,1.0,11.0,18.0,Furnished,15898465.07645801
Thane,3524,2,2,1.0,4.0,28.0,Furnished,25485813.558249496
Bandra,1727,2,2,2.0,8.0,17.0,Semi-Furnished,23579411.995722026
Dadar,1492,1,1,1.0,19.0,15.0,Semi-Furnished,17534572.831094645
Vikhroli,2808,2,2,2.0,27.0,0.0,Furnished,27304923.60786438
Dadar,3691,4,4,0.0,25.0,1.0,Unfurnished,50028943.48877426
Goregaon,1409,1,1,0.0,17.0,14.0,Unfurnished,11321657.321991209
Powai,1103,2,3,2.0,18.0,,Semi-Furnished,9454228.160434632
Kandivali,974,2,2,1.0,2.0,27.0,Unfurnished,7013734.892793703
Thane,2008,3,3,1.0,8.0,0.0,Semi-Furnished,17129986.764634028
Dadar,3632,3,3,1.0,3.0,4.0,Furnished,48346628.33253129
Kandivali,1512,2,2,1.0,16.0,21.0,Unfurnished,10101319.451476792
Powai,1087,3,4,1.0,16.0,35.0,Furnished,10984939.17012842
Mulund,3228,3,2,0.0,22.0,12.0,Unfurnished,29051560.830374643
Thane,3032,4,3,2.0,22.0,0.0,Semi-Furnished,26644505.59364472
Kandivali,3036,4,4,2.0,1.0,,Semi-Furnished,21674656.45673605
Goregaon,3630,2,2,0.0,8.0,21.0,Semi-Furnished,31670734.244298987
Juhu,888,2,2,2.0,8.0,31.0,Semi-Furnished,14143130.12625763
